epoch,train loss,train acc,test loss,test acc
1,1.8387528972747997,32.92599868774414,1.617530216009189,41.13999938964844
2,1.4250396921084478,47.64400100708008,1.718184796663431,40.5
3,1.2406658654029552,54.84799575805664,1.2581323171273255,55.81999969482422
4,1.1332735193081391,59.07400131225586,1.4908182254204383,49.61000061035156
5,1.0729206853952162,61.566001892089844,1.0723602382036357,61.91999816894531
6,1.040310536745267,62.62000274658203,1.086309831111859,61.900001525878906
7,1.005614404189281,64.0739974975586,1.161060196466935,59.06999588012695
8,0.987146318417329,64.79199981689453,1.060114833788994,62.470001220703125
9,0.9617735628898327,65.70600128173828,1.0734486488195567,62.5
10,0.943437381585439,66.64999389648438,1.0860528838940156,62.37999725341797
11,0.9229462588444735,67.27999877929688,1.1498308051855137,61.400001525878906
12,0.9062075700515356,67.947998046875,2.0489420539293532,39.38999938964844
13,0.8949589507702069,68.48999786376953,1.440932688040611,57.72999954223633
14,0.8796046243264125,68.9260025024414,1.1546790019059792,61.44999694824219
15,0.8737504971333039,69.35799407958984,0.9714010441914583,66.41999816894531
16,0.8561688135831784,70.01199340820312,70.43766310276129,10.0
17,0.8533060572086236,69.89600372314453,0.878710055962587,69.58000183105469
18,0.8372271562233949,70.7300033569336,1.1132541100184123,63.05000305175781
19,0.8312852413226397,70.80400085449219,2.0343551696875157,44.85000228881836
20,0.8256403242930388,71.0479965209961,1.0235614906518886,65.12000274658203
21,0.8215401148184752,71.23400115966797,1.0583557180869274,64.25
22,0.8221048034154452,71.09199523925781,1.182320169149301,59.630001068115234
23,0.8175901365585816,71.45000457763672,1.2011484305063884,61.22999954223633
24,0.8147512750747876,71.50199890136719,1.465416894509242,52.679996490478516
25,0.8138713243680122,71.447998046875,1.0625597666471431,63.95000076293945
26,0.8098057451920632,71.79000091552734,1.051837642223407,64.85000610351562
27,0.8056031470115368,71.72799682617188,0.9315262925930512,68.33000183105469
28,0.8015893320242564,72.0040054321289,0.9962600905161637,65.19000244140625
29,0.6671639952904139,76.71399688720703,0.6633170384627122,77.20000457763672
30,0.6261040334518139,78.12000274658203,0.6423572080257611,77.80999755859375
31,0.6081896185110777,78.75,0.6462743102740018,77.87000274658203
32,0.5934001209644171,79.30599975585938,0.6429230528764236,77.81999969482422
33,0.5803143164286246,79.64599609375,0.65049242744079,77.8800048828125
34,0.572015929604188,79.91799926757812,0.6298642192895596,78.72000122070312
